index,x,y,z,norm,lowpass_filter,threshold_filter,moving_average
0,0.0,1.8452,-11.1106,11.262779204086351,11.26070557229341,11.262779204086351,
1,-0.157,1.806,-10.2861,10.444622454162715,10.861441080006323,10.444622454162715,
2,-0.1178,1.6882,-10.0506,10.192078121757113,10.609889590154449,10.192078121757113,
3,-0.0785,1.8452,-10.1683,10.334662557626157,10.53643358161806,10.334662557626157,
4,-0.4319,2.0415,-11.1106,11.30485259611995,10.547186537483816,11.30485259611995,10.707798986750458
5,-0.3141,1.8452,-10.718,10.88020890654219,10.550089779793213,10.88020890654219,10.631284927241627
6,0.0,1.806,-9.7757,9.941124005362774,10.571172998193505,9.941124005362774,10.530585237481636
7,0.3926,1.5704,-10.0113,10.141322330445869,10.68777384842739,10.141322330445869,10.520434079219388
8,-0.4319,1.7667,-11.1106,11.258472314661523,10.874094238586157,11.258472314661523,10.705196030626462
9,-0.7067,2.2771,-11.4639,11.709210584407474,11.009216099297756,11.709210584407474,10.786067628283966
10,-0.3141,1.806,-10.6395,10.796261161161302,11.032684532667052,10.796261161161302,10.769278079207789
11,-0.3926,1.8452,-10.6002,10.766760786791911,11.00208821895459,10.766760786791911,10.934405435493616
12,-0.4711,1.9237,-10.8358,11.015312911579045,10.999745298401507,11.015312911579045,11.10920355172025
13,-0.6282,1.8452,-10.9143,11.086989797505904,11.061752829061952,11.086989797505904,11.074907048289127
14,-0.2748,1.4919,-10.7965,10.902554420868533,11.186889825102032,10.902554420868533,10.91357581558134
15,0.0,1.8845,-10.9143,11.075797250762584,11.332268403699999,11.075797250762584,10.969483033501595
16,-0.9422,2.4734,-11.778,12.071732783656206,11.397848343281353,12.071732783656206,11.230477432874455
17,-0.3926,2.2771,-11.621,11.848500334219517,11.301018856041836,11.848500334219517,11.39711491740255
18,-0.0393,1.806,-10.3254,10.482226178155097,11.08630664392628,10.482226178155097,11.276162193532388
19,0.0,2.0023,-10.3646,10.556236945521826,10.885901629321088,10.556236945521826,11.206898698463046
20,-0.3141,1.8452,-10.5609,10.725485101383526,10.769488597772593,10.725485101383526,11.136836268587235
21,0.0,1.963,-10.8358,11.012171931095155,10.697591298316288,11.012171931095155,10.924924098075024
22,-0.4711,1.3348,-10.7572,10.849929865671943,10.610452386211612,10.849929865671943,10.72521000436551
23,-0.4319,1.963,-10.2469,10.44216769737012,10.515044018401897,10.44216769737012,10.717198308208514
24,-0.5104,1.8845,-10.2076,10.392639037799782,10.485079608758973,10.392639037799782,10.684478726664105
25,-0.5889,1.806,-10.3646,10.537237416419922,10.60595197102008,10.537237416419922,10.646829189671385
26,-0.5104,1.963,-10.2469,10.445709012316971,10.923052436375851,10.445709012316971,10.533536605915748
27,-0.3141,1.8845,-10.1291,10.307699349030315,11.369152683767737,10.307699349030315,10.425090502587421
28,-0.3533,2.7875,-12.5239,12.835226852299884,11.690611314961753,12.835226852299884,10.903702333573374
29,-2.0808,2.9052,-13.7017,14.160031729131118,11.59826844946687,14.160031729131118,11.657180871839643
30,0.4711,0.7852,-9.4617,9.505905592840696,11.12021763635572,9.505905592840696,11.450914507123796
31,-0.0785,1.1385,-9.5009,9.569192510865271,10.619547903297144,9.569192510865271,11.275611206833457
32,-0.3533,1.963,-10.2861,10.477692641989456,10.388509246040169,10.477692641989456,11.309609865425285
33,-0.5889,2.0415,-10.2469,10.464869089959988,10.430669825037835,10.464869089959988,10.835538312957306
34,-0.9815,1.7274,-10.4824,10.669018828833325,10.600203145948967,10.669018828833325,10.137335732897748
35,-0.3141,2.1986,-10.8358,11.061060636756315,10.754045450492834,11.061060636756315,10.448366741680871
36,-0.6674,1.8845,-10.9143,11.095886963194966,10.812434486193055,11.095886963194966,10.75370563214681
37,-0.0393,1.8845,-10.2469,10.41882163922581,10.781639691922898,10.41882163922581,10.74193143159408
38,-0.3533,1.806,-10.6395,10.79747272003963,10.715852563306578,10.79747272003963,10.80845215761001
39,-0.3533,1.7667,-10.4039,10.55874921522431,10.654391573207313,10.55874921522431,10.786398234888207
40,-0.3141,1.8452,-10.5217,10.686888824162061,10.607683620654816,10.686888824162061,10.711563872369355
41,-0.2356,1.6489,-10.6002,10.730266474323924,10.581887446597891,10.730266474323924,10.638439774595147
42,-0.2748,1.4134,-10.0506,10.15321500609536,10.592822810976902,10.15321500609536,10.585318447969057
43,-0.2356,1.6097,-10.6395,10.76315946643921,10.64086423745443,10.76315946643921,10.578455797248974
44,-0.2748,1.806,-10.6787,10.833825950697195,10.687258915432638,10.833825950697195,10.63347114434355
45,-0.0785,1.5704,-10.6002,10.71618208365274,10.68561662140114,10.71618208365274,10.639329796241686
46,-0.0393,1.806,-10.5609,10.714279691141163,10.623174549841096,10.714279691141163,10.636132439605133
47,-0.0393,1.3348,-10.3646,10.450271225666825,10.522041454149003,10.450271225666825,10.695543683519427
48,0.157,1.4526,-10.2076,10.311633891871839,10.416784755470756,10.311633891871839,10.605238568605952
49,0.0785,1.5704,-10.5609,10.677308987755294,10.338514633331537,10.677308987755294,10.573935176017574
50,0.0,1.2956,-9.6972,9.783366864224197,10.318150308374692,9.783366864224197,10.387372132131864
51,0.3533,1.7274,-10.0898,10.242694747477346,10.365374351663604,10.242694747477346,10.293055143399101
52,-0.1963,1.7274,-10.8358,10.974379530980329,10.43368258242223,10.974379530980329,10.397876804461802
53,-0.0393,1.5704,-10.2861,10.405361784195684,10.463850455837449,10.405361784195684,10.41662238292657
54,-0.0393,1.806,-10.0506,10.211647313239915,10.448117255201332,10.211647313239915,10.323490048023492
55,0.0,1.6882,-10.6002,10.733790536432132,10.410130527747139,10.733790536432132,10.513574782465081
56,0.3533,1.2171,-10.0506,10.130188234184002,10.371799588984523,10.130188234184002,10.491073479806413
57,-0.1178,1.3348,-10.2469,10.33414377149844,10.353611306924584,10.33414377149844,10.363026327910033
58,0.1178,1.7667,-10.4432,10.592239233042275,10.368812703423059,10.592239233042275,10.400401817679352
59,0.2748,1.6489,-10.2076,10.343572110736213,10.431995840338093,10.343572110736213,10.426786777178613
60,0.2356,1.5311,-10.1291,10.24687471280878,10.567947202152581,10.24687471280878,10.329403612453941
61,0.2748,2.0808,-10.3254,10.536561528316533,10.766981837884137,10.536561528316533,10.41067827128045
62,-0.3926,2.3556,-11.2676,11.517890252993384,10.94850060725021,11.517890252993384,10.647427567579438
63,-0.2748,2.0808,-11.1891,11.38425239047343,11.028320528844326,11.38425239047343,10.805830199065667
64,-0.2356,1.3741,-10.4039,10.49689446360208,11.012961978209596,10.49689446360208,10.836494669638842
65,0.0,1.7667,-10.9143,11.05636347901063,10.973739184770416,11.05636347901063,10.998392422879212
66,-0.2748,1.1778,-10.4824,10.551939994143257,10.947571243652549,10.551939994143257,11.001468116044554
67,-0.0393,1.7667,-11.1498,11.288968660599604,10.90053120622208,11.288968660599604,10.9556837975658
68,0.0,1.806,-10.5217,10.675570565079882,10.766415560723253,10.675570565079882,10.81394743248709
69,0.0393,1.4134,-10.7572,10.849727917786694,10.502985269987361,10.849727917786694,10.884514123324013
70,0.1178,1.4526,-10.3254,10.427742265706417,10.135479769273237,10.427742265706417,10.758789880663171
71,0.2356,1.4526,-9.3046,9.420251338472875,9.775087244810175,9.420251338472875,10.532452149529094
72,-0.1963,1.7667,-9.1083,9.280134237714453,9.572386021144606,9.280134237714453,10.130685264952064
73,0.5104,1.7274,-9.1868,9.361715289411444,9.617947694114676,9.361715289411444,9.867914209818377
74,0.3926,1.1385,-9.4224,9.499049361383486,9.876271654824645,9.499049361383486,9.597778498537735
75,0.1963,1.6097,-10.7965,10.917604134149581,10.198493954166477,10.917604134149581,9.695750872226366
76,0.1178,1.4919,-10.6002,10.705320288996495,10.42332577014351,10.705320288996495,9.952764662331091
77,0.1178,1.7274,-10.4039,10.546986432626147,10.499142679250259,10.546986432626147,10.206135101313432
78,0.157,1.5704,-10.0898,10.21248594613476,10.495013947460109,10.21248594613476,10.376289232658094
79,-0.0393,1.6097,-10.2469,10.372638921219615,10.505649516227459,10.372638921219615,10.55100714462532
80,0.0,1.9237,-9.972,10.155855734008828,10.56217028885999,10.155855734008828,10.398657464597168
81,0.0,1.8845,-11.1891,11.346686699649373,10.614068499120522,11.346686699649373,10.526930746727746
82,-0.0393,1.806,-10.4039,10.559560393311836,10.60016280658626,10.559560393311836,10.529445538864882
83,0.5104,2.0415,-10.0898,10.3069051829344,10.525689562321627,10.3069051829344,10.548329386224811
84,0.3141,1.963,-10.3646,10.553528365906825,10.440581266830405,10.553528365906825,10.584507275162252
85,0.2356,2.3949,-9.972,10.258257033726538,10.382553782223985,10.258257033726538,10.604987535105796
86,0.3926,1.806,-10.3254,10.489502176938618,10.37116297906322,10.489502176938618,10.433550630563644
87,0.0393,1.5311,-9.972,10.088934319342156,10.415199957154796,10.088934319342156,10.339425415769707
88,0.0,1.5311,-10.6002,10.710205751991882,10.500793403666364,10.710205751991882,10.420085529581204
89,0.0,1.4526,-10.4824,10.582568521866513,10.591127339983666,10.582568521866513,10.425893560773142
90,0.1178,2.1986,-10.6002,10.826447193793538,10.655464524970574,10.826447193793538,10.539531592786542
91,0.5889,1.5704,-10.3254,10.460728680641708,10.68999386369002,10.460728680641708,10.53377689352716
92,0.4319,2.12,-10.5217,10.741839158170261,10.700482238430395,10.741839158170261,10.66435786129278
93,0.5104,2.12,-10.6787,10.899061512350501,10.683305016003272,10.899061512350501,10.702129013364504
94,0.3533,2.0415,-10.2469,10.454257637441312,10.640113701211083,10.454257637441312,10.676466836479465
95,0.3533,2.0808,-10.6787,10.885273686040236,10.595435927898073,10.885273686040236,10.688232134928803
96,0.4711,1.9237,-9.9328,10.128330204925193,10.588186528470725,10.128330204925193,10.6217524397855
97,0.0393,2.12,-10.3646,10.579266404151092,10.63708962692959,10.579266404151092,10.589237888981668
98,0.0,1.9237,-10.875,11.04383297093903,10.711285580139533,11.04383297093903,10.618192180699372
99,0.1963,2.0808,-10.2469,10.457878462671099,10.754511276391087,10.457878462671099,10.61891634574533
100,0.0393,1.8845,-11.0321,11.191966545250214,10.727634206671736,11.191966545250214,10.680254917587325
101,0.0785,2.0023,-10.5217,10.710814088107401,10.633534083765873,10.710814088107401,10.796751694223769
102,0.0393,1.963,-9.972,10.163449094180578,10.53026527327537,10.163449094180578,10.713588232229664
103,0.2356,1.8452,-10.0506,10.221293008225524,10.484532922885958,10.221293008225524,10.549080239686962
104,0.3141,2.12,-10.6002,10.81467978490348,10.49930952637454,10.81467978490348,10.62044050413344
105,0.2356,2.0808,-10.0898,10.304819262849787,10.520928755466485,10.304819262849787,10.443011047653354
106,0.2748,1.963,-10.9535,11.131399116463303,10.502692501966978,11.131399116463303,10.527128053324535
107,0.1178,1.963,-9.815,10.010068473292277,10.4501916771775,10.010068473292277,10.496451929146875
108,0.2748,1.6097,-10.3254,10.4537330313147,10.413265693904743,10.4537330313147,10.54293993376471
109,0.0785,1.8452,-10.0898,10.257435806769642,10.431331740151343,10.257435806769642,10.431491138137941
110,0.0785,1.806,-10.5217,10.675859175729135,10.502271677515571,10.675859175729135,10.50569912071381
111,0.157,2.1986,-10.0898,10.327756532761605,10.597559720022002,10.327756532761605,10.34497060397347
112,0.0393,2.2378,-10.7965,11.026046688636866,10.678506460609325,11.026046688636866,10.548166247042388
113,0.3533,2.1986,-10.4039,10.639539372548043,10.712853979463661,10.639539372548043,10.585327515289057
114,0.0785,2.3949,-10.6002,10.867656062831578,10.699389593404677,10.867656062831578,10.707371566501445
115,0.2356,2.1986,-10.2861,10.521083714617994,10.672293788796713,10.521083714617994,10.676416474279218
116,0.3141,2.0808,-10.2861,10.499154283083946,10.674109729876779,10.499154283083946,10.710696024343687
117,0.1178,2.0808,-10.4824,10.687577613285436,10.7168653748006,10.687577613285436,10.6430022092734
118,0.3926,2.12,-10.6787,10.894180485470212,10.769070201300664,10.894180485470212,10.693930431857833
119,0.0393,2.1986,-10.3646,10.595297051522435,10.778351726055455,10.595297051522435,10.639458629596005
120,0.0393,2.0808,-11.0321,11.226687113302837,10.699791911457297,11.226687113302837,10.780579309332975
121,0.0785,2.12,-10.2076,10.42572107865926,10.529011229510273,10.42572107865926,10.765892668448036
122,0.2748,2.0808,-9.972,10.19048711691448,10.320821626295976,10.19048711691448,10.666474569173847
123,0.4711,2.0808,-9.972,10.197668745845787,10.154372113738722,10.197668745845787,10.52717222124896
124,0.7067,2.4734,-9.6972,10.032587915886907,10.092474828620029,10.032587915886907,10.414630394121854
125,0.5104,1.9237,-9.6187,9.822449772841804,10.16992153559888,9.822449772841804,10.133782926029648
126,0.0393,1.6882,-10.3254,10.462573722081963,10.37388432567872,10.462573722081963,10.141153454714189
127,0.3533,2.0808,-10.1291,10.346652421918888,10.626589040812485,10.346652421918888,10.17238651571507
128,0.2356,2.1593,-11.1891,11.397984148962482,10.807663940362819,11.397984148962482,10.412449596338408
129,0.157,2.3949,-10.7965,11.060045536072625,10.823967477359025,11.060045536072625,10.617941120375551
130,-0.1963,1.4919,-10.4824,10.58985406226167,10.681374880443009,10.58985406226167,10.771421978259525
131,0.5104,2.0023,-10.0898,10.299212469407552,10.472839770678156,10.299212469407552,10.738749727724644
132,0.0785,1.9237,-10.2076,10.387583053819593,10.302389814940634,10.387583053819593,10.746935854104784
133,0.4711,1.963,-9.7757,9.981964470984657,10.241937547064017,9.981964470984657,10.46373191850922
134,0.0785,2.0808,-9.8543,10.071897506428469,10.317463701033136,10.071897506428469,10.266102312580388
135,0.1178,1.8845,-10.4824,10.651099795326303,10.489785438472072,10.651099795326303,10.278351459193313
136,0.0393,2.2771,-10.5609,10.803672417747588,10.671139452880166,10.803672417747588,10.379243448861322
137,0.2748,2.3949,-10.6002,10.870846383331887,10.78385275555375,10.870846383331887,10.475896114763781
138,0.0,2.1593,-10.6395,10.85640533233722,10.797406775049689,10.85640533233722,10.650784287034295
139,0.0393,2.2771,-10.718,10.957292224815399,10.730621908515175,10.957292224815399,10.82786323071168
140,0.1963,2.0415,-10.0506,10.25771983922353,10.642254466656377,10.25771983922353,10.749187239491125
141,0.0393,2.1593,-10.4039,10.625688504280559,10.596193619790284,10.625688504280559,10.713590456797718
142,0.4711,2.3556,-10.1683,10.448210921492732,10.615389362299375,10.448210921492732,10.629063364429888
143,0.0785,2.0808,-10.6787,10.879821900196712,10.67571831288368,10.879821900196712,10.633746678001787
144,0.2748,2.4734,-10.1683,10.468407113310029,10.731957591007262,10.468407113310029,10.535969655700713
145,0.157,2.12,-10.9928,11.196459299260638,10.73856335239673,11.196459299260638,10.723717547708134
146,0.1963,2.1986,-10.2469,10.481952836184677,10.670908714235235,10.481952836184677,10.694970414088958
147,0.157,2.2771,-10.5217,10.76642950564392,10.54450102224374,10.76642950564392,10.758614130919195
