x,y,z
-0.7067,3.6904,-9.6187
-0.3533,3.1801,-10.1683
-0.3141,3.4549,-10.5217
0.0785,3.6904,-10.3646
0,3.1801,-10.6787
-0.3533,4.7505,-9.5009
0.5104,3.8082,-9.7365
0.8637,2.9445,-9.5402
1.0993,2.9838,-9.4617
2.0023,3.2978,-9.7365
1.1385,3.5334,-10.0113
1.3348,2.6304,-9.7757
1.6489,3.5334,-9.972
1.806,2.7089,-9.7757
1.7274,3.1015,-10.0506
1.8452,3.6904,-10.3254
2.2378,4.3186,-9.972
1.9237,3.8475,-9.4224
2.1593,3.6512,-9.972
-0.0785,3.2978,-10.7572
-0.1178,2.5519,-10.718
-1.2956,2.12,-9.0691
1.1778,3.0623,-9.0298
1.4526,2.7089,-9.4617
2.5912,3.023,-9.8935
1.806,2.0415,-9.3439
1.6097,2.6697,-10.6002
1.6489,5.6927,-11.8958
0,5.5357,-10.7965
-0.9422,4.5149,-10.0898
-0.8245,4.3971,-10.4432
-0.2748,4.083,-10.5217
-0.0785,3.9653,-9.6972
0.4319,3.8867,-9.3831
0.8637,4.9468,-10.4432
-0.0785,-0.5104,-1.2171
-48.3683,52.4514,-37.8074
-0.1963,4.7897,-4.3579
-6.2816,2.1593,-8.755
0.157,3.3764,-9.972
0,3.4549,-10.0898
0,3.4549,-10.0898
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.3371,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0898
0,3.4156,-10.0506
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0.0393,3.4156,-10.0898
0.0393,3.4156,-10.0506
0.0393,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0898
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0898
-0.2356,4.0045,-9.8935
0,3.4156,-10.0898
0.0393,3.3764,-10.0506
-0.2356,3.6904,-10.0506
0,3.4156,-10.0898
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4941,-10.0898
0,3.4941,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.1291
0,3.4156,-10.0506
-0.0393,3.3764,-10.0506
0,3.4156,-10.0898
0,3.4549,-10.0898
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4549,-10.0506
0,3.4941,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4941,-10.0898
-0.0785,3.6512,-10.0113
-0.5104,3.7297,-9.7365
0.7852,3.4549,-10.2861
0.3141,3.1801,-10.2076
-0.157,3.6119,-10.2076
0,3.4549,-10.0898
0,3.3764,-10.0506
0,3.4941,-10.0898
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0898
0,3.4941,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.3764,-10.0898
0,3.3764,-10.0506
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0898
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0.0393,3.4156,-10.0898
0,3.4549,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0898
0.0393,3.4156,-10.0506
0,3.4156,-10.0898
0,3.4549,-10.0898
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0.0393,3.4549,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0898
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0506
0,3.4156,-9.972
0,3.4156,-10.0506
0,3.4549,-10.0898
0.0393,3.4549,-10.0506
0.0393,3.4156,-10.0113
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0898
0,3.3764,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0506
0,3.3371,-9.972
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0898
0,3.4156,-10.0506
0.0393,3.4549,-10.0506
0.0393,3.3371,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0.0393,3.4549,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0506
0.0393,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0113
0,3.3764,-10.0113
0,3.4156,-10.0113
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0.0393,3.4549,-10.0506
0,3.4156,-10.0113
0.0393,3.4549,-10.0113
0,3.4156,-10.0113
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0113
0,3.4156,-10.0506
0,3.3764,-10.0506
0.0393,3.3764,-10.0506
0,3.4156,-9.972
0,3.3764,-10.0506
0,3.4156,-10.0506
0.0393,3.4549,-10.0506
0,3.4156,-10.0898
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4549,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.3764,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0.0393,3.3764,-10.0506
0.0393,3.4549,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0.0785,3.3371,-9.972
0,3.2586,-9.972
0.1963,3.3764,-10.0898
-0.0785,3.1801,-9.8935
-0.5104,4.0045,-9.658
0.6282,3.2586,-10.6395
-0.6282,3.6904,-9.4617
1.2171,2.12,-10.4432
0.7459,2.7875,-10.1683
0.7852,2.6697,-10.1683
0.0785,3.2586,-9.9328
0.0785,3.2978,-10.0113
0,3.4941,-10.0898
0,3.3371,-10.0113
0,3.4156,-10.0506
0.3926,3.0623,-9.7757
-0.1963,3.7297,-10.1683
0.0785,3.3371,-10.0113
0,3.4156,-10.0898
0,3.4156,-10.0506
0.0393,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0898
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0.0393,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0.0393,3.4549,-10.0113
0.0393,3.3764,-10.0113
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4549,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0113
0,3.4156,-10.0113
0.0393,3.4156,-10.0506
0,3.4156,-10.0898
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0113
0,3.4156,-10.0506
0,3.4549,-10.0113
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
0,3.3764,-10.0506
0,3.3764,-10.0506
0,3.4156,-10.0506
0,3.4156,-10.0506
